排名,游戏名称,游戏类型,平台,来源,榜单,监控日期,发布时间,开发公司,排名变化,地区
5,奇谈镇妖铃,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-02,周平均排名:7.0,--,新进榜,中国
15,清理达人,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-02,周平均排名:17.0,--,20,中国
18,躺平发育,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-02,周平均排名:18.9,--,18,中国
